T_thermocontroller T_self C D R X
38.3 -1 +3.34918E-011 +3.58219E-002 +1.70010E+004 -4.74596E+005
38.3 -1 +3.34973E-011 +3.64511E-002 +1.72960E+004 -4.74498E+005
38.3 -1 +3.35004E-011 +3.61153E-002 +1.71354E+004 -4.74465E+005
38.3 -1 +3.35140E-011 +3.61932E-002 +1.71654E+004 -4.74270E+005
38.3 -1 +3.35098E-011 +3.65539E-002 +1.73381E+004 -4.74316E+005
38.3 -1 +3.35195E-011 +3.59113E-002 +1.70292E+004 -4.74202E+005
38.3 -1 +3.35317E-011 +3.67139E-002 +1.74024E+004 -4.74001E+005
38.3 -1 +3.35208E-011 +3.64573E-002 +1.72867E+004 -4.74164E+005
38.3 -1 +3.35387E-011 +3.64830E-002 +1.72897E+004 -4.73911E+005
38.3 -1 +3.35277E-011 +3.65093E-002 +1.73078E+004 -4.74066E+005
38.3 -1 +3.35374E-011 +3.61744E-002 +1.71444E+004 -4.73939E+005
38.3 -1 +3.35581E-011 +3.65906E-002 +1.73305E+004 -4.73633E+005
38.3 -1 +3.35420E-011 +3.65306E-002 +1.73104E+004 -4.73862E+005
40.06 -1 +3.35652E-011 +3.62440E-002 +1.71632E+004 -4.73545E+005
40.06 -1 +3.35567E-011 +3.65560E-002 +1.73149E+004 -4.73654E+005
40.06 -1 +3.35738E-011 +3.60567E-002 +1.70703E+004 -4.73429E+005
40.06 -1 +3.35742E-011 +3.67480E-002 +1.73965E+004 -4.73400E+005
40.06 -1 +3.35718E-011 +3.64122E-002 +1.72392E+004 -4.73445E+005
40.06 -1 +3.35875E-011 +3.63771E-002 +1.72146E+004 -4.73225E+005
40.06 -1 +3.35963E-011 +3.65324E-002 +1.72833E+004 -4.73096E+005
40.06 -1 +3.35874E-011 +3.65541E-002 +1.72982E+004 -4.73221E+005
40.06 -1 +3.36073E-011 +3.62120E-002 +1.71265E+004 -4.72952E+005
40.06 -1 +3.36081E-011 +3.66964E-002 +1.73546E+004 -4.72924E+005
40.06 -1 +3.36074E-011 +3.68407E-002 +1.74230E+004 -4.72929E+005
40.06 -1 +3.36035E-011 +3.64248E-002 +1.72289E+004 -4.72998E+005
40.06 -1 +3.36266E-011 +3.62022E-002 +1.71121E+004 -4.72681E+005
40.06 -1 +3.36284E-011 +3.68086E-002 +1.73970E+004 -4.72635E+005
40.06 -1 +3.36250E-011 +3.65133E-002 +1.72596E+004 -4.72693E+005
40.06 -1 +3.36366E-011 +3.68798E-002 +1.74264E+004 -4.72518E+005
40.06 -1 +3.36342E-011 +3.64984E-002 +1.72479E+004 -4.72564E+005
40.06 -1 +3.36584E-011 +3.68152E-002 +1.73846E+004 -4.72214E+005
40.06 -1 +3.36367E-011 +3.69414E-002 +1.74553E+004 -4.72514E+005
