T_thermocontroller T_self C D R X
31.39 -1 +5.12969E-011 +6.52082E-002 +2.01460E+004 -3.08948E+005
31.39 -1 +5.13115E-011 +6.50615E-002 +2.00953E+004 -3.08867E+005
31.39 -1 +5.13064E-011 +6.51729E-002 +2.01315E+004 -3.08893E+005
31.39 -1 +5.13058E-011 +6.50926E-002 +2.01071E+004 -3.08900E+005
31.39 -1 +5.13140E-011 +6.52535E-002 +2.01531E+004 -3.08844E+005
31.39 -1 +5.13002E-011 +6.52116E-002 +2.01457E+004 -3.08929E+005
31.39 -1 +5.13117E-011 +6.50801E-002 +2.01010E+004 -3.08865E+005
31.39 -1 +5.13142E-011 +6.52454E-002 +2.01506E+004 -3.08843E+005
31.39 -1 +5.13105E-011 +6.51405E-002 +2.01199E+004 -3.08869E+005
31.39 -1 +5.13151E-011 +6.51242E-002 +2.01131E+004 -3.08842E+005
31.39 -1 +5.13112E-011 +6.50612E-002 +2.00954E+004 -3.08869E+005
31.39 -1 +5.13145E-011 +6.50888E-002 +2.01025E+004 -3.08847E+005
31.39 -1 +5.13202E-011 +6.51608E-002 +2.01223E+004 -3.08810E+005
31.39 -1 +5.13151E-011 +6.50996E-002 +2.01056E+004 -3.08843E+005
31.39 -1 +5.13226E-011 +6.50708E-002 +2.00938E+004 -3.08800E+005
31.39 -1 +5.13183E-011 +6.51242E-002 +2.01118E+004 -3.08823E+005
31.39 -1 +5.13206E-011 +6.50113E-002 +2.00764E+004 -3.08814E+005
31.39 -1 +5.13228E-011 +6.52605E-002 +2.01518E+004 -3.08790E+005
31.39 -1 +5.13218E-011 +6.50468E-002 +2.00868E+004 -3.08805E+005
31.39 -1 +5.13218E-011 +6.50365E-002 +2.00836E+004 -3.08805E+005
31.39 -1 +5.13214E-011 +6.49702E-002 +2.00635E+004 -3.08810E+005
31.73 -1 +5.13238E-011 +6.50157E-002 +2.00765E+004 -3.08795E+005
31.73 -1 +5.13267E-011 +6.49808E-002 +2.00647E+004 -3.08779E+005
31.73 -1 +5.13290E-011 +6.50591E-002 +2.00877E+004 -3.08762E+005
31.73 -1 +5.13345E-011 +6.50920E-002 +2.00957E+004 -3.08727E+005
31.73 -1 +5.13263E-011 +6.48500E-002 +2.00248E+004 -3.08786E+005
31.73 -1 +5.13394E-011 +6.50452E-002 +2.00794E+004 -3.08700E+005
31.73 -1 +5.13285E-011 +6.50022E-002 +2.00705E+004 -3.08767E+005
31.73 -1 +5.13330E-011 +6.49624E-002 +2.00566E+004 -3.08741E+005
31.73 -1 +5.13311E-011 +6.50304E-002 +2.00781E+004 -3.08750E+005
31.73 -1 +5.13311E-011 +6.49336E-002 +2.00485E+004 -3.08754E+005
31.73 -1 +5.13419E-011 +6.49963E-002 +2.00635E+004 -3.08687E+005
31.73 -1 +5.13317E-011 +6.50271E-002 +2.00769E+004 -3.08747E+005
31.73 -1 +5.13400E-011 +6.48970E-002 +2.00338E+004 -3.08702E+005
31.73 -1 +5.13409E-011 +6.50078E-002 +2.00674E+004 -3.08692E+005
31.73 -1 +5.13470E-011 +6.49220E-002 +2.00387E+004 -3.08659E+005
31.73 -1 +5.13476E-011 +6.50772E-002 +2.00860E+004 -3.08649E+005
31.73 -1 +5.13456E-011 +6.49804E-002 +2.00572E+004 -3.08665E+005
31.73 -1 +5.13538E-011 +6.49644E-002 +2.00490E+004 -3.08616E+005
31.73 -1 +5.13464E-011 +6.50481E-002 +2.00776E+004 -3.08657E+005
31.73 -1 +5.13493E-011 +6.48893E-002 +2.00278E+004 -3.08646E+005
31.73 -1 +5.13575E-011 +6.51098E-002 +2.00921E+004 -3.08588E+005
32.06 -1 +5.13637E-011 +6.50058E-002 +2.00579E+004 -3.08555E+005
32.06 -1 +5.13662E-011 +6.49442E-002 +2.00380E+004 -3.08542E+005
32.06 -1 +5.13625E-011 +6.50304E-002 +2.00659E+004 -3.08561E+005
32.06 -1 +5.13592E-011 +6.50624E-002 +2.00769E+004 -3.08579E+005
32.06 -1 +5.13581E-011 +6.49470E-002 +2.00421E+004 -3.08591E+005
32.06 -1 +5.13728E-011 +6.49963E-002 +2.00514E+004 -3.08501E+005
32.06 -1 +5.13688E-011 +6.50076E-002 +2.00564E+004 -3.08524E+005
32.06 -1 +5.13646E-011 +6.50145E-002 +2.00602E+004 -3.08549E+005
32.06 -1 +5.13695E-011 +6.49914E-002 +2.00512E+004 -3.08521E+005
32.06 -1 +5.13746E-011 +6.50610E-002 +2.00705E+004 -3.08488E+005
32.06 -1 +5.13783E-011 +6.50242E-002 +2.00578E+004 -3.08467E+005
32.06 -1 +5.13740E-011 +6.49998E-002 +2.00520E+004 -3.08493E+005
32.06 -1 +5.13753E-011 +6.49073E-002 +2.00232E+004 -3.08489E+005
32.06 -1 +5.13787E-011 +6.50011E-002 +2.00506E+004 -3.08465E+005
32.06 -1 +5.13692E-011 +6.48955E-002 +2.00220E+004 -3.08527E+005
32.06 -1 +5.13729E-011 +6.47704E-002 +1.99822E+004 -3.08509E+005
32.06 -1 +5.13773E-011 +6.48823E-002 +2.00148E+004 -3.08478E+005
32.06 -1 +5.13768E-011 +6.48864E-002 +2.00162E+004 -3.08481E+005
32.06 -1 +5.13757E-011 +6.48791E-002 +2.00144E+004 -3.08488E+005
32.06 -1 +5.13771E-011 +6.49024E-002 +2.00210E+004 -3.08478E+005
32.47 -1 +5.13789E-011 +6.49254E-002 +2.00274E+004 -3.08467E+005
32.47 -1 +5.13765E-011 +6.49406E-002 +2.00329E+004 -3.08480E+005
32.47 -1 +5.13772E-011 +6.48419E-002 +2.00025E+004 -3.08481E+005
32.47 -1 +5.13795E-011 +6.47947E-002 +1.99871E+004 -3.08468E+005
32.47 -1 +5.13892E-011 +6.48525E-002 +2.00010E+004 -3.08408E+005
32.47 -1 +5.13773E-011 +6.48812E-002 +2.00144E+004 -3.08478E+005
32.47 -1 +5.13774E-011 +6.47667E-002 +1.99794E+004 -3.08482E+005
32.47 -1 +5.13887E-011 +6.48680E-002 +2.00060E+004 -3.08410E+005
32.47 -1 +5.13870E-011 +6.47376E-002 +1.99668E+004 -3.08426E+005
32.47 -1 +5.13836E-011 +6.48302E-002 +1.99964E+004 -3.08442E+005
32.47 -1 +5.13867E-011 +6.48193E-002 +1.99918E+004 -3.08424E+005
32.47 -1 +5.13905E-011 +6.47911E-002 +1.99818E+004 -3.08403E+005
32.47 -1 +5.13847E-011 +6.49118E-002 +2.00209E+004 -3.08433E+005
32.47 -1 +5.13862E-011 +6.47242E-002 +1.99629E+004 -3.08431E+005
32.47 -1 +5.13855E-011 +6.47647E-002 +1.99756E+004 -3.08434E+005
32.47 -1 +5.13951E-011 +6.48385E-002 +1.99944E+004 -3.08373E+005
32.47 -1 +5.13860E-011 +6.47775E-002 +1.99793E+004 -3.08430E+005
32.47 -1 +5.13951E-011 +6.46491E-002 +1.99366E+004 -3.08381E+005
32.47 -1 +5.13932E-011 +6.48236E-002 +1.99906E+004 -3.08385E+005
32.47 -1 +5.13965E-011 +6.47560E-002 +1.99687E+004 -3.08368E+005
32.47 -1 +5.14015E-011 +6.47321E-002 +1.99594E+004 -3.08339E+005
32.88 -1 +5.13909E-011 +6.47813E-002 +1.99786E+004 -3.08401E+005
32.88 -1 +5.14017E-011 +6.47436E-002 +1.99628E+004 -3.08337E+005
32.88 -1 +5.13984E-011 +6.47783E-002 +1.99748E+004 -3.08356E+005
32.88 -1 +5.14000E-011 +6.47938E-002 +1.99789E+004 -3.08345E+005
32.88 -1 +5.14028E-011 +6.46687E-002 +1.99395E+004 -3.08334E+005
